species;lon;lat;f
Bromeliophila helenae;-61.01929;14.65485;21
Bromeliophila helenae;-61.159722;14.808056;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-61.01929;14.65485;21
Bromeliophila helenae;-61.01929;14.65485;21
Bromeliophila helenae;-61.383333;5.95;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-75.670833;6.647222;21
Bromeliophila helenae;-61.38;5.95;21
Bromeliophila helenae;-74.194722;5.001944;21
Bromeliophila helenae;-75.6708;6.64722;21
Bromeliophila helenae;-75.6708;6.64722;21
Bromeliophila helenae;-74.1947;5.00194;21
Bromeliophila helenae;-75.6708;6.64722;21
Bromeliophila helenae;-61.35583;15.43556;21
Bromeliophila helenae;-75.6705556;6.6469444;21
Bromeliophila helenae;-74.1944444;5.0016667;21
Cololejeunea antillana;-61.025;14.65485;11
Cololejeunea antillana;-61.017;14.651;11
Cololejeunea antillana;-61.01929;14.65485;11
Cololejeunea antillana;-47.866667;-14.183333;11
Cololejeunea antillana;-49.226233;-18.19645;11
Cololejeunea antillana;-49.19;-18.19645;11
Cololejeunea antillana;-49.083333;-18.293672;11
Cololejeunea antillana;-77.616667;-1.083333;11
Cololejeunea antillana;-47.86666;-14.18333;11
Cololejeunea antillana;-76.5325;5.719722222;11
Cololejeunea antillana;-76.59361111;5.756944444;11
Cololejeunea camillei;-91.08;16.12;94
Cololejeunea camillei;-90.99;16.1;94
Cololejeunea camillei;-53.24036;3.91451;94
Cololejeunea camillei;-77.766667;-2.116667;94
Cololejeunea camillei;-74.083333;11.1;94
Cololejeunea camillei;-79.75;-3.65;94
Cololejeunea camillei;-78.466667;0.833333;94
Cololejeunea camillei;-76.4;-0.666667;94
Cololejeunea camillei;-79.733333;-3.65;94
Cololejeunea camillei;-76.4;-0.666667;94
Cololejeunea camillei;-51.700556;-29.156667;94
Cololejeunea camillei;-51.700556;-29.156667;94
Cololejeunea camillei;-53.23477;3.92404;94
Cololejeunea camillei;-53.23477;3.92404;94
Cololejeunea camillei;-43.705;-22.596944;94
Cololejeunea camillei;-43.704167;-22.595278;94
Cololejeunea camillei;-53.030278;-25.450833;94
Cololejeunea camillei;-53.030278;-25.450833;94
Cololejeunea camillei;-53.030278;-25.450833;94
Cololejeunea camillei;-53.030278;-25.450833;94
Cololejeunea camillei;-53.030278;-25.450833;94
Cololejeunea camillei;-51.427583;-1.780222;94
Cololejeunea camillei;-41.67225;-22.288528;94
Cololejeunea camillei;-35.851111;-9.200556;94
Cololejeunea camillei;-74.083333;11.1;94
Cololejeunea camillei;-78.466667;0.833333;94
Cololejeunea camillei;-76.4;-0.666667;94
Cololejeunea camillei;-79.75;-3.65;94
Cololejeunea camillei;-79.733333;-3.65;94
Cololejeunea camillei;-76.4;-0.666667;94
Cololejeunea camillei;-77.766667;-2.116667;94
Cololejeunea camillei;-39.439136;-7.282092;94
Cololejeunea camillei;-39.471111;-7.231667;94
Cololejeunea camillei;-39.439136;-7.282092;94
Cololejeunea camillei;-39.439136;-7.282092;94
Cololejeunea camillei;-39.271394;-7.398794;94
Cololejeunea camillei;-39.439136;-7.282092;94
Cololejeunea camillei;-39.439136;-7.282092;94
Cololejeunea camillei;-39.475986;-7.230236;94
Cololejeunea camillei;-66.833;-0.75;94
Cololejeunea camillei;-66.75;0.333333;94
Cololejeunea camillei;-65.53;-0.42;94
Cololejeunea camillei;-54.67;-25.33;94
Cololejeunea camillei;-62.5;-1.17;94
Cololejeunea camillei;-59.928188;-2.95487;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-62.5;-1.17;94
Cololejeunea camillei;-66.58;0.33;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-66.58;-0.27;94
Cololejeunea camillei;-62.5;-1.17;94
Cololejeunea camillei;-66.92;-0.33;94
Cololejeunea camillei;-60.962066;14.529659;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-66.83;-0.33;94
Cololejeunea camillei;-66.58;-0.27;94
Cololejeunea camillei;-56.88;-26.08;94
Cololejeunea camillei;-90.990361;16.1045;94
Cololejeunea camillei;-91.084167;16.126944;94
Cololejeunea camillei;-90.993889;16.103056;94
Cololejeunea camillei;-91.087222;16.125833;94
Cololejeunea camillei;-90.9925;16.106944;94
Cololejeunea camillei;-91.129722;16.7525;94
Cololejeunea camillei;-90.990361;16.1045;94
Cololejeunea camillei;-91.087222;16.125833;94
Cololejeunea camillei;-61.37708;-2.05277;94
Cololejeunea camillei;-61.37708;-2.05277;94
Cololejeunea camillei;-74.07761;11.0948;94
Cololejeunea camillei;-46.505833;-23.928333;94
Cololejeunea camillei;-74.136389;11.225;94
Cololejeunea camillei;-47.929722;-15.779722;94
Cololejeunea camillei;-46.505833;-23.928333;94
Cololejeunea camillei;-74.1364;11.225;94
Cololejeunea camillei;-67.33333;-15.53333;94
Cololejeunea camillei;-67.33333;-15.53333;94
Cololejeunea camillei;-46.56666;-21.8;94
Cololejeunea camillei;-55.116667;-27.483333;94
Cololejeunea camillei;-64.039444;-13.244167;94
Cololejeunea camillei;-83.824236;9.537179;94
Cololejeunea camillei;-90.10639;15.65278;94
Cololejeunea camillei;-90.10639;15.65278;94
Cololejeunea camillei;-66.16944;7.1225;94
Cololejeunea camillei;-55.12361;-27.48167;94
Cololejeunea camillei;-79.03639;21.62111;94
Cololejeunea camillei;-66.16944;7.1225;94
Cololejeunea camillei;-53.030278;-25.450833;94
